LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,ALHUÉ,245,,Más Bajo,Gratuito ,Munic.
ESCUELA EL ASIENTO,ALHUÉ,216,,Más Bajo,Gratuito ,Munic.
ESCUELA BARRANCAS DE PICHI,ALHUÉ,218,,-,Gratuito ,Munic.
ESCUELA SAN ALFONSO,ALHUÉ,265,,Más Alto,Gratuito ,Munic.
ESCUELA HACIENDA ALHUE,ALHUÉ,276,,Más Alto,Gratuito ,Munic.
ESCUELA PARTICULAR SAINT MARY,BUIN,297,,Más Alto,$1.000 a $10.000 ,P. Subv.
LICEO POLIVALENTE MODERNO CARDENAL CARO,BUIN,257,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA BÁSICA N 149 SAN MARCEL,BUIN,244,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COLEGIO ALTO DEL VALLE,BUIN,260,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESC. PART. PABLO APOSTOL DE BUIN,BUIN,276,,Más Bajo,$25.001 a $50.000 ,P. Subv.
ESCUELA SANTA TERESA DE LOS ANDES,BUIN,288,,Más Alto,$25.001 a $50.000 ,P. Subv.
COLEGIO INGLES SAN JOSE DE LINDEROS,BUIN,247,,Más Bajo,$25.001 a $50.000 ,P. Subv.
COLEGIO SAN FERNANDO DE BUIN,BUIN,274,,-,$50.001 a $100.000 ,P. Subv.
LICEO 131,BUIN,238,,Más Bajo,Gratuito ,Munic.
ESCUELA RAYEN MAPU,BUIN,215,,Más Bajo,Gratuito ,Munic.
COLEGIO DE MAIPO,BUIN,231,,Más Bajo,Gratuito ,Munic.
LICEO ALTO JAHUEL,BUIN,230,,Más Bajo,Gratuito ,Munic.
ESCUELA VILLASECA,BUIN,235,,Más Bajo,Gratuito ,Munic.
LICEO FRANCISCO JAVIER KRUGGER ALVARADO,BUIN,219,,Más Bajo,Gratuito ,Munic.
ESCUELA VALDIVIA DE PAINE,BUIN,242,,Similar,Gratuito ,Munic.
ESCUELA LO SALINAS,BUIN,223,,Más Bajo,Gratuito ,Munic.
ESCUELA HUMBERTO MORENO RAMIREZ,BUIN,243,,Similar,Gratuito ,Munic.
ESCUELA LOS ROSALES DEL BAJO,BUIN,222,,Más Bajo,Gratuito ,Munic.
ESCUELA VILUCO,BUIN,215,,Más Bajo,Gratuito ,Munic.
ESCUELA LOS AROMOS DE EL RECURSO,BUIN,218,,Más Bajo,Gratuito ,Munic.
ESC.BASICA Y ESP.MARIA DE LOS ANGELES DE BUIN,BUIN,220,,Más Bajo,Gratuito ,P. Subv.
COLEGIO BUIN,BUIN,315,,Más Alto,Más de $100.000 ,P. Pag.
COLEGIO SAN ISIDRO,BUIN,313,,Más Alto,Más de $100.000 ,P. Pag.
COLEGIO SAINT JAMES SCHOOL,BUIN,304,,Más Alto,Más de $100.000 ,P. Pag.
COLEGIO CAMPANARIO,BUIN,297,,Más Bajo,Más de $100.000 ,P. Pag.
ESCUELA ANDRES PUIG FERRER,BUIN,233,,Similar,Sin información ,Munic.
ESCUELA PARTICULAR SAN IGNACIO,CALERA DE TANGO,263,,Más Alto,$1.000 a $10.000 ,P. Subv.
INSTITUTO CALERA DE TANGO,CALERA DE TANGO,231,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COLEGIO SAN ANDRES DE CALERA DE TANGO,CALERA DE TANGO,301,,-,$50.001 a $100.000 ,P. Subv.
LICEO MUNICIPAL POETISA GABRIELA MISTRAL,CALERA DE TANGO,235,,Similar,Gratuito ,Munic.
COLEGIO CALERA DE TANGO,CALERA DE TANGO,239,,Similar,Gratuito ,Munic.
COLEGIO  LONQUEN,CALERA DE TANGO,248,,Más Alto,Gratuito ,Munic.
ESCUELA PARTICULAR EDIAL II,CALERA DE TANGO,231,,Más Bajo,Gratuito ,P. Subv.
COLEGIO SAN BARTOLOME DE NOS,CALERA DE TANGO,275,,Más Bajo,Más de $100.000 ,P. Pag.
COLEGIO SAN FELIPE DIACONO,CALERA DE TANGO,299,,Similar,Más de $100.000 ,P. Pag.
COLEGIO LA MISION,CALERA DE TANGO,299,,Más Bajo,Más de $100.000 ,P. Pag.
ESCUELA BASICA NO 3 CAMPOS DE MAIPU,CERRILLOS,259,,Similar,$1.000 a $10.000 ,P. Subv.
ESC. BAS.SAN AGUSTIN DE CERRILLOS,CERRILLOS,237,,Más Bajo,$1.000 a $10.000 ,P. Subv.
COLEGIO INDUSTRIAL PART. DON ORIONE,CERRILLOS,288,,Más Alto,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR SAINT RODRIC COLLEGE,CERRILLOS,257,,Similar,$10.001 a $25.000 ,P. Subv.
ESC. BASICA PARTIC.SAINT MAURICES,CERRILLOS,259,,Similar,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. AKORI,CERRILLOS,232,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COLEGIO SAN JOSE DE CERRILLOS,CERRILLOS,227,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COLEGIO LOS CONQUISTADORES,CERRILLOS,280,,Más Alto,$25.001 a $50.000 ,P. Subv.
COLEGIO PARTICULAR MATER DEI,CERRILLOS,296,,Más Alto,$25.001 a $50.000 ,P. Subv.
COLEGIO PETER COLLEGE - ANEXO,CERRILLOS,272,,Más Bajo,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA PEDRO AGUIRRE CERDA,CERRILLOS,227,,Más Bajo,Gratuito ,Munic.
LICEO DR. LUIS VARGAS SALCEDO,CERRILLOS,218,,Más Bajo,Gratuito ,Munic.
ESCUELA BASICA CONDORES DE PLATA,CERRILLOS,237,,Más Bajo,Gratuito ,Munic.
ESCUELA LOTHAR KOMMER BRUGER,CERRILLOS,242,,Similar,Gratuito ,Munic.
ESCUELA CERRILLOS,CERRILLOS,229,,Más Bajo,Gratuito ,Munic.
ESCUELA J.PRIETO VIAL,CERRILLOS,242,,Más Alto,Gratuito ,Munic.
ESCUELA ESTRELLA REINA DE CHILE,CERRILLOS,231,,Más Bajo,Gratuito ,Munic.
ESCUELA SANTA ADELA,CERRILLOS,248,,Más Bajo,Gratuito ,Munic.
EJERCITO LIBERTADOR DE CERRILLOS,CERRILLOS,213,,Más Bajo,Gratuito ,Munic.
ESCUELA PARTICULAR AMOR DE DIOS,CERRILLOS,263,,Más Alto,Gratuito ,P. Subv.
ESCUELA BASICA SAN PEDRO,CERRILLOS,184,,-,Sin información ,P. Subv.
ESCUELA PARTICULAR ESPANA,CERRO NAVIA,236,,Más Bajo,$1.000 a $10.000 ,P. Subv.
COLEGIO CRISTIAN AND CAREN SCHOOL,CERRO NAVIA,283,,Más Alto,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR ROBERT KENNEDY,CERRO NAVIA,244,,Más Bajo,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR LA FRONTERA,CERRO NAVIA,237,,Más Bajo,$1.000 a $10.000 ,P. Subv.
ESCUELA BASICA PARTICULAR HORIZONTE 11,CERRO NAVIA,263,,Más Alto,$1.000 a $10.000 ,P. Subv.
ESCUELA DIVINO MAESTRO,CERRO NAVIA,230,,Más Bajo,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR MONTE GRANDE,CERRO NAVIA,255,,Similar,$10.001 a $25.000 ,P. Subv.
ESCUELA CHARLES SCHOOL-DIURNA,CERRO NAVIA,227,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA  MOLOKAI,CERRO NAVIA,253,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COLEGIO POLIV. SAINT ORLAND N 3,CERRO NAVIA,263,,Más Alto,$10.001 a $25.000 ,P. Subv.
ESCUELA ALIANZA,CERRO NAVIA,222,,Más Bajo,Gratuito ,Munic.
ESCUELA PRESIDENTE ROOSEVELT,CERRO NAVIA,247,,Similar,Gratuito ,Munic.
ESCUELA REPUBLICA DE ITALIA,CERRO NAVIA,241,,Similar,Gratuito ,Munic.
ESCUELA REPUBLICA DE CROACIA,CERRO NAVIA,230,,Más Bajo,Gratuito ,Munic.
ESCUELA HERMINDA DE LA VICTORIA,CERRO NAVIA,238,,Más Bajo,Gratuito ,Munic.
ESCUELA MILLAHUE,CERRO NAVIA,231,,Más Bajo,Gratuito ,Munic.
ESCUELA VIOLETA PARRA,CERRO NAVIA,217,,Más Bajo,Gratuito ,Munic.
ESCUELA PROVINCIA DE ARAUCO,CERRO NAVIA,208,,Más Bajo,Gratuito ,Munic.
ESCUELA GENERAL RENE ESCAURIAZA,CERRO NAVIA,229,,Más Bajo,Gratuito ,Munic.
ESCUELA FEDERICO ACEVEDO SALAZAR,CERRO NAVIA,220,,Más Bajo,Gratuito ,Munic.
ESCUELA BASICA PAULO FREIRE,CERRO NAVIA,229,,Más Bajo,Gratuito ,Munic.
ESCUELA LEONARDO DA VINCI,CERRO NAVIA,246,,Más Alto,Gratuito ,Munic.
ESCUELA DOCTOR TREVISO GIRARDI TONELLI,CERRO NAVIA,219,,Más Bajo,Gratuito ,Munic.
ESCUELA INTENDENTE SAAVEDRA,CERRO NAVIA,212,,Más Bajo,Gratuito ,Munic.
ESCUELA SANTANDER DE ESPANA,CERRO NAVIA,204,,Más Bajo,Gratuito ,Munic.
COLEGIO NEPTUNO,CERRO NAVIA,230,,Más Bajo,Gratuito ,Munic.
ESCUELA MARIA LUISA BOMBAL,CERRO NAVIA,227,,Más Bajo,Gratuito ,Munic.
ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN,CERRO NAVIA,249,,Más Alto,Gratuito ,Munic.
ESCUELA PROF. MANUEL GUERRERO CEBALLOS,CERRO NAVIA,221,,Más Bajo,Gratuito ,Munic.
ESCUELA SARGENTO CANDELARIA,CERRO NAVIA,225,,Más Bajo,Gratuito ,Munic.
COMPLEJO EDUCACIONAL CERRO NAVIA,CERRO NAVIA,213,,Más Bajo,Gratuito ,Munic.
ESC. CRISTIAN AND CAREN SCHOOL II,CERRO NAVIA,229,,Más Bajo,Gratuito ,P. Subv.
ESCUELA PARTICULAR SAN FRANCISCO JAVIER,CERRO NAVIA,266,,Más Alto,Gratuito ,P. Subv.
