escuela,comuna,lon,lat,simce,costo,tipo
LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,ALHU?,-71.09913675,-34.03346612,245,Gratuito ,Munic.
ESCUELA EL ASIENTO,ALHU?,-71.00524014,-34.02985825,216,Gratuito ,Munic.
ESCUELA BARRANCAS DE PICHI,ALHU?,-71.0620188,-33.98230249,218,Gratuito ,Munic.
ESCUELA SAN ALFONSO,ALHU?,-71.09655026,-34.0282626,265,Gratuito ,Munic.
ESCUELA HACIENDA ALHUE,ALHU?,-71.2193696,-34.03091204,276,Gratuito ,Munic.
ESCUELA PARTICULAR SAINT MARY,BUIN,-70.73903049,-33.72763296,297,$1.000 a $10.000 ,P. Subv.
LICEO POLIVALENTE MODERNO CARDENAL CARO,BUIN,-70.74685034,-33.72740533,257,$10.001 a $25.000 ,P. Subv.
ESCUELA B?SICA N 149 SAN MARCEL,BUIN,-70.74229208,-33.71386201,244,$10.001 a $25.000 ,P. Subv.
COLEGIO ALTO DEL VALLE,BUIN,-70.7729672,-33.73157793,260,$10.001 a $25.000 ,P. Subv.
ESC. PART. PABLO APOSTOL DE BUIN,BUIN,-70.74677661,-33.72909268,276,$25.001 a $50.000 ,P. Subv.
ESCUELA SANTA TERESA DE LOS ANDES,BUIN,-70.75507368,-33.73374536,288,$25.001 a $50.000 ,P. Subv.
COLEGIO INGLES SAN JOSE DE LINDEROS,BUIN,-70.74215088,-33.76234042,247,$25.001 a $50.000 ,P. Subv.
COLEGIO SAN FERNANDO DE BUIN,BUIN,-70.75,274,-33.733333,$50.001 a $100.000 ,P. Subv.
LICEO 131,BUIN,-70.74211523,-33.73127771,238,Gratuito ,Munic.
ESCUELA RAYEN MAPU,BUIN,-70.74528192,-33.72616503,215,Gratuito ,Munic.
COLEGIO DE MAIPO,BUIN,-70.77672452,-33.73478829,231,Gratuito ,Munic.
LICEO ALTO JAHUEL,BUIN,-70.68480872,-33.72925954,230,Gratuito ,Munic.
ESCUELA VILLASECA,BUIN,-70.74934784,-33.74410679,235,Gratuito ,Munic.
LICEO FRANCISCO JAVIER KRUGGER ALVARADO,BUIN,-70.73621316,-33.76241779,219,Gratuito ,Munic.
ESCUELA VALDIVIA DE PAINE,BUIN,-70.8580166,-33.80972565,242,Gratuito ,Munic.
ESCUELA LO SALINAS,BUIN,-70.76076961,-33.7351615,223,Gratuito ,Munic.
ESCUELA HUMBERTO MORENO RAMIREZ,BUIN,-70.76396153,-33.81089959,243,Gratuito ,Munic.
ESCUELA LOS ROSALES DEL BAJO,BUIN,-70.74442856,-33.7138589,222,Gratuito ,Munic.
ESCUELA VILUCO,BUIN,-70.79224107,-33.80096029,215,Gratuito ,Munic.
ESCUELA LOS AROMOS DE EL RECURSO,BUIN,-70.69262199,-33.68853638,218,Gratuito ,Munic.
ESC.BASICA Y ESP.MARIA DE LOS ANGELES DE BUIN,BUIN,-70.65953791,-33.65717903,220,Gratuito ,P. Subv.
COLEGIO BUIN,BUIN,-70.74438501,-33.73304018,315,Más de $100.000 ,P. Pag.
COLEGIO SAN ISIDRO,BUIN,-70.74181479,-33.76072469,313,Más de $100.000 ,P. Pag.
